year,situacion,value
1979-06-01,buena,13
1979-07-01,buena,13.4
1979-09-01,buena,15.7
1979-10-01,buena,13.3
1979-11-01,buena,11
1979-12-01,buena,12.4
1980-01-01,buena,11
1980-02-01,buena,11.8
1980-03-01,buena,7.2
1980-04-01,buena,10
1980-05-01,buena,7.6
1980-06-01,buena,7
1980-09-01,buena,6.8
1980-10-01,buena,8.2
1980-11-01,buena,7
1980-12-01,buena,6.2
1981-01-01,buena,5.1
1981-02-01,buena,5.1
1981-03-01,buena,8.4
1981-04-01,buena,7
1981-05-01,buena,5
1981-07-01,buena,8
1981-09-01,buena,5.8
1981-10-01,buena,6.7
1981-11-01,buena,5
1982-01-01,buena,7.7
1982-02-01,buena,8
1982-03-01,buena,8.2
1982-04-01,buena,6
1982-06-01,buena,6.7
1982-09-01,buena,3.6
1982-10-01,buena,3.7
1983-10-01,buena,13.8
1984-01-01,buena,11
1984-04-01,buena,15
1984-07-01,buena,17.9
1985-05-01,buena,20
1985-10-01,buena,23
1986-02-01,buena,23
1986-12-01,buena,18
1987-03-01,buena,13
1987-11-01,buena,21
1988-01-01,buena,22
1988-07-01,buena,22
1989-01-01,buena,19
1989-05-01,buena,15
1989-07-01,buena,22
1989-11-01,buena,24
1990-07-01,buena,27
1991-05-01,buena,21
1991-10-01,buena,18
1992-04-01,buena,14
1992-06-01,buena,24
1992-09-01,buena,15
1992-10-01,buena,16.5
1992-11-01,buena,8.7
1992-12-01,buena,15
1993-02-01,buena,7.5
1993-03-01,buena,10.6
1993-04-01,buena,5.7
1993-05-01,buena,6.1
1993-06-01,buena,10.5
1993-07-01,buena,14.9
1993-09-01,buena,7.4
1993-10-01,buena,7.8
1993-11-01,buena,4.2
1993-12-01,buena,7.6
1994-01-01,buena,5.8
1994-02-01,buena,4.8
1994-03-01,buena,5.8
1994-04-01,buena,4.9
1994-05-01,buena,4.7
1994-07-01,buena,7.8
1994-09-01,buena,10.1
1994-10-01,buena,6.5
1994-11-01,buena,6.5
1994-12-01,buena,10
1995-01-01,buena,7.7
1995-02-01,buena,5.9
1995-03-01,buena,6.2
1995-04-01,buena,4.5
1995-05-01,buena,6.6
1995-06-01,buena,3.1
1995-07-01,buena,4.9
1995-09-01,buena,2.8
1995-10-01,buena,4.2
1995-11-01,buena,4.8
1995-12-01,buena,6.8
1996-01-01,buena,7
1996-02-01,buena,10.9
1996-03-01,buena,10.3
1996-04-01,buena,7
1996-05-01,buena,15.2
1996-06-01,buena,18.2
1996-07-01,buena,20
1996-09-01,buena,14.2
1996-10-01,buena,13.2
1996-11-01,buena,13.3
1996-12-01,buena,16.8
1997-01-01,buena,13.7
1997-02-01,buena,13.7
1997-03-01,buena,18.9
1997-04-01,buena,21.3
1997-05-01,buena,19.4
1997-06-01,buena,29.1
1997-07-01,buena,31
1997-09-01,buena,21.2
1997-10-01,buena,18.7
1997-11-01,buena,22.3
1997-12-01,buena,26.4
1998-01-01,buena,28.8
1998-02-01,buena,22.4
1998-03-01,buena,23.1
1998-04-01,buena,23
1998-05-01,buena,24.1
1998-06-01,buena,20.5
1998-07-01,buena,18.9
1998-09-01,buena,21.5
1998-10-01,buena,27.2
1998-11-01,buena,30.3
1998-12-01,buena,30.9
1999-01-01,buena,30.1
1999-02-01,buena,28.9
1999-03-01,buena,26.3
1999-04-01,buena,25.8
1999-05-01,buena,27.8
1999-06-01,buena,31.2
1999-07-01,buena,25.3
1999-09-01,buena,27.4
1999-10-01,buena,26.7
1999-11-01,buena,22.2
1999-12-01,buena,30.5
2000-01-01,buena,31.5
2000-02-01,buena,27.3
2000-03-01,buena,39.2
2000-04-01,buena,37.8
2000-05-01,buena,38.2
2000-06-01,buena,30.8
2000-07-01,buena,28.4
2000-09-01,buena,23.5
2000-10-01,buena,27.1
2000-11-01,buena,28
2000-12-01,buena,27.9
2001-01-01,buena,29.6
2001-02-01,buena,24.2
2001-03-01,buena,26.4
2001-04-01,buena,24.6
2001-05-01,buena,23.3
2001-06-01,buena,24.5
2001-07-01,buena,24.3
2001-09-01,buena,25.9
2001-10-01,buena,26.9
2001-11-01,buena,21.6
2001-12-01,buena,21.9
2002-01-01,buena,30.2
2002-02-01,buena,27.7
2002-03-01,buena,23.5
2002-04-01,buena,26.9
2002-05-01,buena,22.3
2002-06-01,buena,20.6
2002-07-01,buena,22
2002-09-01,buena,23.9
2002-10-01,buena,18.1
2002-11-01,buena,24.3
2002-12-01,buena,19.1
2003-01-01,buena,19.5
2003-02-01,buena,15.2
2003-03-01,buena,11
2003-04-01,buena,16.8
2003-05-01,buena,18.2
2003-06-01,buena,17.6
2003-07-01,buena,17.7
2003-09-01,buena,20.9
2003-10-01,buena,20.7
2003-11-01,buena,24
2003-12-01,buena,24.4
2004-01-01,buena,18.1
2004-02-01,buena,17.9
2004-03-01,buena,24.1
2004-04-01,buena,36.1
2004-05-01,buena,32.3
2004-06-01,buena,30.5
2004-07-01,buena,29.9
2004-09-01,buena,22.4
2004-10-01,buena,27.1
2004-11-01,buena,27.3
2004-12-01,buena,22.1
2005-01-01,buena,28.1
2005-02-01,buena,23.1
2005-03-01,buena,21
2005-04-01,buena,21.2
2005-05-01,buena,22.7
2005-06-01,buena,20.8
2005-07-01,buena,22.9
2005-09-01,buena,17.7
2005-10-01,buena,15.5
2005-11-01,buena,15.3
2005-12-01,buena,17.2
2006-01-01,buena,16.4
2006-02-01,buena,14.8
2006-03-01,buena,22.7
2006-04-01,buena,23.5
2006-05-01,buena,16.5
2006-06-01,buena,17.1
2006-07-01,buena,19.4
2006-09-01,buena,16.2
2006-10-01,buena,15.8
2006-11-01,buena,15
2006-12-01,buena,16.1
2007-01-01,buena,12.2
2007-02-01,buena,12.4
2007-03-01,buena,11
2007-04-01,buena,15.6
2007-05-01,buena,13.8
2007-06-01,buena,16.9
2007-07-01,buena,16.5
2007-09-01,buena,16.8
2007-10-01,buena,16.3
2007-11-01,buena,16
2007-12-01,buena,15
2008-01-01,buena,14
2008-02-01,buena,15
2008-03-01,buena,21.2
2008-04-01,buena,19.2
2008-05-01,buena,16.9
2008-06-01,buena,13.8
2008-07-01,buena,15.6
2008-09-01,buena,13.3
2008-10-01,buena,12.7
2008-11-01,buena,15.3
2008-12-01,buena,11.3
2009-01-01,buena,12.6
2009-02-01,buena,10.1
2009-03-01,buena,7.9
2009-04-01,buena,10
2009-05-01,buena,9.2
2009-06-01,buena,8.6
2009-07-01,buena,8.5
2009-09-01,buena,6.8
2009-10-01,buena,6
2009-11-01,buena,5.3
2009-12-01,buena,5.8
2010-01-01,buena,6.6
2010-02-01,buena,5.1
2010-03-01,buena,4.8
2010-04-01,buena,4.1
2010-05-01,buena,4.5
2010-06-01,buena,2.8
2010-07-01,buena,3
2010-09-01,buena,3.1
2010-10-01,buena,3.8
2010-11-01,buena,4.1
2010-12-01,buena,3
2011-01-01,buena,3.1
2011-02-01,buena,3.9
2011-03-01,buena,3.7
2011-04-01,buena,3.1
2011-05-01,buena,2.8
2011-06-01,buena,2.4
2011-07-01,buena,3
2011-09-01,buena,2.6
2011-10-01,buena,2.1
2011-11-01,buena,2.8
2011-12-01,buena,4.3
2012-01-01,buena,7.8
2012-02-01,buena,7.5
2012-03-01,buena,7.4
2012-04-01,buena,6.6
2012-05-01,buena,5.2
2012-06-01,buena,4.2
2012-07-01,buena,4.6
2012-09-01,buena,2.9
2012-10-01,buena,2.3
2012-11-01,buena,2.8
2012-12-01,buena,2.8
2013-01-01,buena,2.6
2013-02-01,buena,1.2
2013-03-01,buena,1.4
2013-04-01,buena,1.7
2013-05-01,buena,1.8
2013-06-01,buena,2
2013-07-01,buena,2.1
2013-09-01,buena,1.9
2013-10-01,buena,1.4
2013-11-01,buena,1.6
2013-12-01,buena,1.8
2014-01-01,buena,1.8
2014-02-01,buena,1.7
2014-03-01,buena,1.2
2014-04-01,buena,2.2
2014-05-01,buena,2.2
2014-06-01,buena,1.9
2014-07-01,buena,2.1
2014-09-01,buena,1.9
2014-10-01,buena,2
