id,nombre,total,nacidos_en_espana,en_la_misma_comunidad_autonoma,misma_comunidad_autonoma_misma_provincia,misma_comunidad_autonoma_misma_provincia_mismo_municipio,misma_comunidad_autonoma_misma_provincia_distinto_municipio,misma_comunidad_autonoma_distinta_provincia,en_distinta_comunidad_autonoma,nacidos_en_el_extranjero
17001,Agullana,841,697,608,515,267,248,93,89,144
17002,Aiguaviva,767,731,662,603,188,415,59,69,36
17003,Albanyà,139,123,110,74,16,58,36,13,16
17004,Albons,765,647,592,454,234,220,138,55,118
17006,Alp,1559,1321,1153,546,330,216,607,168,238
17007,Amer,2256,2051,1861,1649,1102,547,212,190,205
17008,Anglès,5519,4378,3977,3632,2113,1519,345,401,1141
17009,Arbúcies,6515,5052,4622,3443,2815,628,1179,430,1463
17010,Argelaguer,423,391,353,263,116,147,90,38,32
17011,"Armentera, L'",937,786,739,601,356,245,138,47,151
17012,Avinyonet de Puigventós,1604,1487,1264,1109,263,846,155,223,117
17015,Banyoles,19615,15660,14308,12622,7867,4755,1686,1352,3955
17016,Bàscara,1000,872,794,685,349,336,109,78,128
17013,Begur,3934,3178,2542,1957,947,1010,585,636,756
17018,Bellcaire d'Empordà,671,598,532,438,213,225,94,66,73
17019,Besalú,2467,2150,1929,1683,829,854,246,221,317
17020,Bescanó,4941,4632,4241,3903,1598,2305,338,391,309
17021,Beuda,187,154,145,95,36,59,50,9,33
17022,"Bisbal d'Empordà, La",10859,8514,7283,6460,4206,2254,823,1231,2345
17234,Biure,238,210,185,159,81,78,26,25,28
17023,Blanes,38790,31471,23719,15796,12862,2934,7923,7752,7319
17029,Boadella i les Escaules,269,238,218,174,80,94,44,20,31
17024,Bolvir,383,331,308,145,86,59,163,23,52
17025,Bordils,1701,1416,1278,1161,463,698,117,138,285
17026,Borrassà,702,657,600,545,258,287,55,57,45
17027,Breda,3733,3384,2943,1957,1389,568,986,441,349
17028,Brunyola,369,347,329,284,155,129,45,18,22
17031,Cabanelles,273,219,199,140,71,69,59,20,54
17030,Cabanes,944,759,651,587,265,322,64,108,185
17032,Cadaqués,2752,1888,1555,1182,993,189,373,333,864
17033,Caldes de Malavella,7458,6701,5560,3801,1673,2128,1759,1141,757
17034,Calonge,10897,8247,6836,4935,2279,2656,1901,1411,2650
17035,Camós,690,652,618,579,216,363,39,34,38
17036,Campdevànol,3204,3071,2610,2020,1379,641,590,461,133
17037,Campelles,133,120,112,71,37,34,41,8,13
17038,Campllong,535,499,475,435,150,285,40,24,36
17039,Camprodon,2261,1968,1759,1249,901,348,510,209,293
17040,Canet d'Adri,708,660,615,544,248,296,71,45,48
17041,Cantallops,313,255,234,202,113,89,32,21,58
17042,Capmany,613,486,427,342,165,177,85,59,127
17044,Cassà de la Selva,10359,8533,7566,6803,3829,2974,763,967,1826
17046,Castellfollit de la Roca,956,830,749,662,371,291,87,81,126
17047,Castelló d'Empúries,10820,6039,4887,4023,2335,1688,864,1152,4781
17048,Castell,10585,7002,5378,3740,1816,1924,1638,1624,3583
17189,"Cellera de Ter, La",1976,1778,1625,1513,841,672,112,153,198
17049,Celrà,5390,4205,3724,3221,1419,1802,503,481,1185
17050,Cervià de Ter,948,830,762,653,307,346,109,68,118
17051,Cistella,300,262,246,198,94,104,48,16,38
17054,Colera,465,377,308,219,70,149,89,69,88
17055,Colomers,176,163,153,124,57,67,29,10,13
17057,Corçà,1253,1155,1046,889,382,507,157,109,98
17056,Cornellà del Terri,2322,2110,1978,1827,789,1038,151,132,212
17058,Crespià,251,209,197,149,60,89,48,12,42
17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",1274,1141,992,787,344,443,205,149,133
17060,Darnius,557,469,387,318,157,161,69,82,88
17061,Das,227,210,196,102,54,48,94,14,17
